Synthesis_temperature   Sintering_temperature   Sintering_time   Heating_rate    Particle_size     Standard_deviation     Surface_area    Tab_density
800                     700                     1                200             1.7               4.5                    1.3              1.026
800                     900                     12               200             4.7               1.6                    0.5              1.784
800                     700                     12               700             1.9               3.9                    1.2              0.986
800                     900                     1                700             3.4               2.9                    0.7              1.393
900                     700                     12               200             1.8               4.1                    2.8              0.997
900                     900                     1                200             3.2               2.2                    0.7              1.707
900                     700                     1                700             1.5               6.4                    4.1              1.133
900                     900                     12               700             4.7               1.6                    0.5              2.090
850                     800                     6.5              450             2.4               3.6                    1.8              1.232
850                     800                     6.5              450             2.4               3.0                    1.9              1.245
850                     800                     6.5              450             2.7               3.4                    1.8              1.399
850                     800                     6.5              450             2.6               3.2                    1.9              1.529

